Proyecto;Tipo;Capacidad;Departamento;Municipio;Código Departamento;Código Municipio;Fecha estimada FPO;Energía [kWh/día];Usuarios;Inversión estimada [COP];Empleos estimados;Emisiones CO2 [Ton/año]
CHEC GD Y AG (184 Proyectos);Solar;4.54;CALDAS;MANIZALES;17;17001;2022-05-31T00:00:00.000;21.792;3,779; 19.522.000.000,00 ;32;6,363
GRANJA SOLAR BELMONTE;Solar;5.06;RISARALDA;PEREIRA;66;66001;2021-04-30T00:00:00.000;24.288;4,212; 21.758.000.000,00 ;35;7,092
CENTRO DE LA INDUSTRIA LA EMPRESA Y LOS SERVICIOS - SEDE INDUSTRIA HUILA;Solar;0.06;HUILA;NEIVA;41;41001;2021-07-15T00:00:00.000;288;50; 258.000.000,00 ;0;84
CENTRO DE GESTIÓN Y DESARROLLO AGROINDUSTRIAL DE ARAUCA;Solar;0.15;ARAUCA;ARAUCA;81;81001;2021-07-15T00:00:00.000;720;125; 645.000.000,00 ;1;210
AFINIA GD Y AG (167 Proyectos);Solar;9.83;CÓRDOBA;MONTERÍA;23;23001;2022-05-31T00:00:00.000;47.184;8,182; 42.269.000.000,00 ;68;13,778
EBSA GD Y AG (53 Proyectos);Solar;1.32;BOYACÁ;TUNJA;15;15001;2022-05-31T00:00:00.000;6.336;1,099; 5.676.000.000,00 ;9;1,85
EPM GD Y AG (1469 Proyectos);Solar;23.92;ANTIOQUIA;MEDELLÍN;5;5001;2022-05-31T00:00:00.000;114.816;19,91; 102.856.000.000,00 ;166;33,526
CELSIA GD Y AG (286 Proyectos);Solar;8.38;VALLE DEL CAUCA;CALI;76;76001;2022-05-31T00:00:00.000;40.224;6,975; 36.034.000.000,00 ;58;11,745
ENEL GD Y AG (331 PROYECTOS);Solar;10.28;BOGOTÁ D.C.;BOGOTÁ D.C.;11;11001;2021-07-22T00:00:00.000;49.344;8,557; 44.204.000.000,00 ;72;14,408
CENS GD Y AG (165 Proyectos);Solar;2.39;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54;54001;2022-05-31T00:00:00.000;11.472;1,989; 10.277.000.000,00 ;17;3,35
ENERCA GD Y AG;Solar;1.26;CASANARE;YOPAL;85;85001;2021-07-22T00:00:00.000;6.048;1,049; 5.418.000.000,00 ;9;1,766
AIRE GD Y AG;Solar;12.1;ATLÁNTICO;BARRANQUILLA;8;8001;2021-07-22T00:00:00.000;58.08;10,072; 52.030.000.000,00 ;84;16,959
LA PAILA;Solar;9.9;VALLE DEL CAUCA;ZARZAL;76;76895;2021-08-07T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
LA SIERPE SOLAR;Solar;19.9;SUCRE;SAN BENITO ABAD;70;70678;2021-08-31T00:00:00.000;95.52;16,564; 85.570.000.000,00 ;139;27,892
SAN FERNANDO;Solar;61;META;CASTILLA LA NUEVA;50;50150;2021-10-22T00:00:00.000;292.8;50,775; 262.300.000.000,00 ;425;85,498
COMPLEJO SOLAR RELIANZ CAT;Solar;1.85;ATLÁNTICO;GALAPA;8;8296;2021-11-25T00:00:00.000;8.88;1,54; 7.955.000.000,00 ;13;2,593
ZONA FRANCA LA CAYENA;Solar;1.8;ATLÁNTICO;BARRANQUILLA;8;8001;2021-11-25T00:00:00.000;8.64;1,498; 7.740.000.000,00 ;13;2,523
COMPLEJO SUR BOGOTÁ;Solar;0.3;BOGOTÁ D.C.;BOGOTÁ D.C.;11;11001;2021-12-10T00:00:00.000;1.44;250; 1.290.000.000,00 ;2;420
CEO GD Y AG (34 Proyectos);Solar;10.02;CAUCA;POPAYÁN;19;19001;2022-05-31T00:00:00.000;48.096;8,34; 43.086.000.000,00 ;70;14,044
EDEQ GD Y AG (64 Proyectos);Solar;1.13;QUINDÍO;ARMENIA;63;63001;2022-05-31T00:00:00.000;5.424;941; 4.859.000.000,00 ;8;1,584
ELECTROHUILA GD Y AG (125 Proyectos);Solar;2.35;HUILA;NEIVA;41;41001;2022-05-31T00:00:00.000;11.28;1,956; 10.105.000.000,00 ;16;3,294
GR PARQUE SOLAR TUCANES;Solar;9.9;BOLÍVAR;CARTAGENA DE INDIAS;13;13001;2022-05-31T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
PARQUE EÓLICO GUAJIRA I;Eólico;19.9;LA GUAJIRA;URIBIA;44;44847;2021-12-31T00:00:00.000;191.04;33,128; 85.570.000.000,00 ;55;55,784
LA LOMA SOLAR (ENEL GREEN POWER);Solar;170;CESAR;EL PASO;20;20250;2021-12-31T00:00:00.000;816;141,503; 731.000.000.000,00 ;1,183;238,272
DELPHI HELIOS 1 Fase 1;Solar;9.9;META;VILLAVICENCIO;50;50001;2022-02-23T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
Comando Aéreo No.1 de Palanquero;Solar;1.2;CALDAS;LA DORADA;17;17380;2022-03-06T00:00:00.000;21;4; 5.160.000.000,00 ;8;6
BOSQUES SOLARES DE LOS LLANOS 4;Solar;19.9;META;PUERTO GAITÁN;50;50568;2022-05-31T00:00:00.000;95.52;16,564; 85.570.000.000,00 ;139;27,892
BOSQUES SOLARES DE LOS LLANOS 5;Solar;17.9;META;PUERTO GAITÁN;50;50568;2022-05-31T00:00:00.000;85.92;14,899; 76.970.000.000,00 ;125;25,089
CABRESTERO;Solar;3;CASANARE;VILLANUEVA;85;85440;2022-04-15T00:00:00.000;14.4;2,497; 12.900.000.000,00 ;21;4,205
LA MEDINA;Solar;9.9;TOLIMA;ARMERO;73;73055;2022-07-31T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
LOS CABALLEROS;Solar;9.9;TOLIMA;ARMERO;73;73055;2022-07-31T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
CERRITOS;Solar;9.9;TOLIMA;SAN SEBASTIÁN DE MARIQUITA;73;73443;2022-07-31T00:00:00.000;47.52;8,24; 42.570.000.000,00 ;69;13,876
LA TOLUA;Solar;19.9;CÓRDOBA;CHINÚ;23;23182;2023-03-02T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
TIERRA LINDA;Solar;9.9;CÓRDOBA;CHINÚ;23;23182;2023-03-02T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
CSF SAN FELIPE (TRINA SOLAR);Solar;90;TOLIMA;ARMERO;73;73055;2023-06-01T00:00:00.000;432;74,913; 337.500.000.000,00 ;626;126,144
ALMA SOLAR I;Solar;9.8;ARAUCA;ARAUCA;81;81001;2023-09-30T00:00:00.000;47.04;8,157; 9.800.000,00 ;68;13,736
SINCÉ;Solar;19.9;SUCRE;SAN LUIS DE SINCÉ;70;70742;2022-07-31T00:00:00.000;95.52;16,564; 85.570.000.000,00 ;139;27,892
PLANETA RICA;Solar;19.9;CÓRDOBA;PLANETA RICA;23;23555;2022-12-31T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
CSF CARTAGO (TRINA SOLAR);Solar;99;VALLE DEL CAUCA;CARTAGO;76;76147;2023-07-01T00:00:00.000;475.2;82,405; 371.250.000.000,00 ;689;138,758
GRANJA SOLAR KAIROS I;Solar;19.9;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54;54001;2023-06-30T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
GRANJA SOLAR KAIROS II;Solar;19.9;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54;54001;2023-06-30T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
GRANJA SOLAR KAIROS III;Solar;19.9;NORTE DE SANTANDER;SAN JOSÉ DE CÚCUTA;54;54001;2023-06-30T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
PÉTALO DEL MAGDALENA I;Solar;9.9;MAGDALENA;ZONA BANANERA;47;47980;2023-12-31T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
ATLANTICO SOLAR 1 (BARANOA);Solar;19.3;ATLÁNTICO;BARANOA;8;8078;2022-12-31T00:00:00.000;92.64;16,065; 72.375.000.000,00 ;134;27,051
ATLANTICO SOLAR 2 (POLO NUEVO);Solar;9.9;ATLÁNTICO;POLONUEVO;8;8558;2022-12-31T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
DELPHI HELIOS 1 Fase 2;Solar;6.1;META;VILLAVICENCIO;50;50001;2022-11-30T00:00:00.000;29.28;5,077; 22.875.000.000,00 ;42;8,55
CAMPANO (TRINA SOLAR);Solar;99.9;CÓRDOBA;CHINÚ;23;23182;2023-09-30T00:00:00.000;479.52;83,154; 374.625.000.000,00 ;695;140,02
WESP01;Eólico;12;LA GUAJIRA;URIBIA;44;44847;2022-08-05T00:00:00.000;115.2;19,977; 51.600.000.000,00 ;33;33,638
PARQUE SOLAR BADEL;Solar;8.6;BOLÍVAR;ARJONA;13;13052;2023-12-31T00:00:00.000;41.28;7,158; 32.250.000.000,00 ;60;12,054
PARQUE SOLAR CORDOBITA;Solar;9.9;MAGDALENA;CIÉNAGA;47;47189;2023-03-31T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
